timepoint	cohort	sample	peptide	count
t1	resilient	R.74	lcl|c231462_g1_i10|m.16284	4
t1	susceptible	S.5	lcl|c231462_g1_i10|m.16284	0
t1	susceptible	S.20	lcl|c231462_g1_i10|m.16284	1
t1	susceptible	S.25	lcl|c231462_g1_i10|m.16284	1
t1	susceptible	S.28	lcl|c231462_g1_i10|m.16284	0
t1	susceptible	S.55	lcl|c231462_g1_i10|m.16284	1
t1	susceptible	S.73	lcl|c231462_g1_i10|m.16284	0
t1	resilient	R.10	lcl|c225110_g1_i1|m.10369	0
t1	resilient	R.13	lcl|c225110_g1_i1|m.10369	1
t1	resilient	R.21	lcl|c225110_g1_i1|m.10369	0
t1	resilient	R.26	lcl|c225110_g1_i1|m.10369	0
t1	resilient	R.66	lcl|c225110_g1_i1|m.10369	0
t1	resilient	R.74	lcl|c225110_g1_i1|m.10369	8
t1	susceptible	S.5	lcl|c225110_g1_i1|m.10369	0
t1	susceptible	S.20	lcl|c225110_g1_i1|m.10369	0
t1	susceptible	S.25	lcl|c225110_g1_i1|m.10369	0
t1	susceptible	S.28	lcl|c225110_g1_i1|m.10369	0
t1	susceptible	S.55	lcl|c225110_g1_i1|m.10369	0
t1	susceptible	S.73	lcl|c225110_g1_i1|m.10369	0
t1	resilient	R.10	lcl|c227571_g1_i1|m.12592	2
t1	resilient	R.13	lcl|c227571_g1_i1|m.12592	0
t1	resilient	R.21	lcl|c227571_g1_i1|m.12592	1
t1	resilient	R.26	lcl|c227571_g1_i1|m.12592	3
t1	resilient	R.66	lcl|c227571_g1_i1|m.12592	0
t1	resilient	R.74	lcl|c227571_g1_i1|m.12592	4
t1	susceptible	S.5	lcl|c227571_g1_i1|m.12592	0
t1	susceptible	S.20	lcl|c227571_g1_i1|m.12592	1
t1	susceptible	S.25	lcl|c227571_g1_i1|m.12592	1
t1	susceptible	S.28	lcl|c227571_g1_i1|m.12592	1
t1	susceptible	S.55	lcl|c227571_g1_i1|m.12592	1
t1	susceptible	S.73	lcl|c227571_g1_i1|m.12592	1
t1	resilient	R.10	lcl|c226978_g9_i3|m.11996	6
t1	resilient	R.13	lcl|c226978_g9_i3|m.11996	17
t1	resilient	R.21	lcl|c226978_g9_i3|m.11996	9
t1	resilient	R.26	lcl|c226978_g9_i3|m.11996	12
t1	resilient	R.66	lcl|c226978_g9_i3|m.11996	41
t1	resilient	R.74	lcl|c226978_g9_i3|m.11996	9
t1	susceptible	S.5	lcl|c226978_g9_i3|m.11996	3
t1	susceptible	S.20	lcl|c226978_g9_i3|m.11996	5
t1	susceptible	S.25	lcl|c226978_g9_i3|m.11996	9
t1	susceptible	S.28	lcl|c226978_g9_i3|m.11996	9
t1	susceptible	S.55	lcl|c226978_g9_i3|m.11996	9
t1	susceptible	S.73	lcl|c226978_g9_i3|m.11996	10
t1	resilient	R.10	lcl|c223378_g2_i2|m.9075	0
t1	resilient	R.13	lcl|c223378_g2_i2|m.9075	2
t1	resilient	R.21	lcl|c223378_g2_i2|m.9075	0
t1	resilient	R.26	lcl|c223378_g2_i2|m.9075	1
t1	resilient	R.66	lcl|c223378_g2_i2|m.9075	3
t1	resilient	R.74	lcl|c223378_g2_i2|m.9075	8
t1	susceptible	S.5	lcl|c223378_g2_i2|m.9075	0
t1	susceptible	S.20	lcl|c223378_g2_i2|m.9075	0
t1	susceptible	S.25	lcl|c223378_g2_i2|m.9075	1
t1	susceptible	S.28	lcl|c223378_g2_i2|m.9075	0
t1	susceptible	S.55	lcl|c223378_g2_i2|m.9075	0
t1	susceptible	S.73	lcl|c223378_g2_i2|m.9075	3
t1	resilient	R.10	lcl|c218374_g1_i3|m.5753	0
t1	resilient	R.13	lcl|c218374_g1_i3|m.5753	0
t1	resilient	R.21	lcl|c218374_g1_i3|m.5753	5
t1	resilient	R.26	lcl|c218374_g1_i3|m.5753	2
t1	resilient	R.66	lcl|c218374_g1_i3|m.5753	2
t1	resilient	R.74	lcl|c218374_g1_i3|m.5753	0
t1	susceptible	S.5	lcl|c218374_g1_i3|m.5753	0
t1	susceptible	S.20	lcl|c218374_g1_i3|m.5753	1
