Pfam ID	GO ID	GO description							
PF00311	GO:0008964	phosphoenolpyruvate carboxylase activity							
PF00311	GO:0006099	tricarboxylic acid cycle							
PF00311	GO:0015977	carbon fixation							
PF00312	GO:0003735	structural constituent of ribosome							
PF00312	GO:0006412	translation							
PF00312	GO:0005840	ribosome							
PF00313	GO:0003676	nucleic acid binding							
PF00317	GO:0004748	ribonucleoside-diphosphate reductase activity, thioredoxin disulfide as acceptor							
PF00317	GO:0005524	ATP binding							
PF00317	GO:0009263	deoxyribonucleotide biosynthetic process							
PF00318	GO:0003735	structural constituent of ribosome							
PF00318	GO:0006412	translation							
PF00318	GO:0005840	ribosome							
PF00319	GO:0003677	DNA binding							
PF00319	GO:0046983	protein dimerization activity							
PF00320	GO:0043565	sequence-specific DNA binding							
PF00320	GO:0006355	regulation of DNA-templated transcription							
PF00321	GO:0006952	defense response							
PF00322	GO:0019229	regulation of vasoconstriction							
PF00322	GO:0005576	extracellular region							
PF00323	GO:0006952	defense response							
PF00323	GO:0005576	extracellular region							
PF00324	GO:0055085	transmembrane transport							
PF00324	GO:0016020	membrane							
PF00325	GO:0003677	DNA binding							
PF00325	GO:0006355	regulation of DNA-templated transcription							
PF00326	GO:0008236	serine-type peptidase activity							
PF00326	GO:0006508	proteolysis							
PF00329	GO:0008137	NADH dehydrogenase (ubiquinone) activity							
PF00331	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds							
PF00331	GO:0005975	carbohydrate metabolic process							
PF00332	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds							
PF00332	GO:0005975	carbohydrate metabolic process							
PF00333	GO:0003723	RNA binding							
PF00333	GO:0003735	structural constituent of ribosome							
PF00333	GO:0006412	translation							
PF00333	GO:0005840	ribosome							
PF00335	GO:0016020	membrane							
PF00336	GO:0004523	RNA-DNA hybrid ribonuclease activity							
PF00337	GO:0030246	carbohydrate binding							
PF00340	GO:0005125	cytokine activity							
PF00340	GO:0006954	inflammatory response							
PF00340	GO:0006955	immune response							
PF00340	GO:0005615	extracellular space							
PF00341	GO:0008083	growth factor activity							
PF00341	GO:0016020	membrane							
PF00342	GO:0004347	glucose-6-phosphate isomerase activity							
PF00342	GO:0006094	gluconeogenesis							
PF00342	GO:0006096	glycolytic process							
PF00343	GO:0008184	glycogen phosphorylase activity							
PF00343	GO:0005975	carbohydrate metabolic process							
PF00344	GO:0015031	protein transport							
PF00344	GO:0016020	membrane							
PF00345	GO:0071555	cell wall organization							
PF00345	GO:0030288	outer membrane-bounded periplasmic space							
PF00346	GO:0016651	oxidoreductase activity, acting on NAD(P)H							
PF00346	GO:0048038	quinone binding							
PF00346	GO:0051287	NAD binding							
PF00347	GO:0003735	structural constituent of ribosome							
PF00347	GO:0019843	rRNA binding							
PF00347	GO:0006412	translation							
PF00347	GO:0005840	ribosome							
PF00348	GO:0004659	prenyltransferase activity							
PF00348	GO:0008299	isoprenoid biosynthetic process							
PF00349	GO:0005524	ATP binding							
PF00349	GO:0016773	phosphotransferase activity, alcohol group as acceptor							
PF00349	GO:0005975	carbohydrate metabolic process							
PF00351	GO:0016714	oxidoreductase activity, acting on paired donors, with incorporation or reduction of molecular oxygen, reduced pteridine as one donor, and incorporation of one atom of oxygen							
PF00352	GO:0003677	DNA binding							
PF00352	GO:0006352	DNA-templated transcription initiation							
PF00353	GO:0005509	calcium ion binding							
PF00355	GO:0051537	2 iron, 2 sulfur cluster binding							
PF00356	GO:0003677	DNA binding							
PF00356	GO:0006355	regulation of DNA-templated transcription							
PF00358	GO:0009401	phosphoenolpyruvate-dependent sugar phosphotransferase system							
PF00360	GO:0006355	regulation of DNA-templated transcription							
PF00360	GO:0009584	detection of visible light							
PF00363	GO:0005576	extracellular region							
PF00365	GO:0003872	6-phosphofructokinase activity							
PF00365	GO:0006096	glycolytic process							
PF00366	GO:0003735	structural constituent of ribosome							
PF00366	GO:0006412	translation							
PF00366	GO:0005840	ribosome							
PF00367	GO:0008982	protein-N(PI)-phosphohistidine-sugar phosphotransferase activity							
PF00368	GO:0004420	hydroxymethylglutaryl-CoA reductase (NADPH) activity							
PF00368	GO:0015936	coenzyme A metabolic process							
PF00370	GO:0016301	kinase activity							
PF00370	GO:0005975	carbohydrate metabolic process							
PF00374	GO:0016151	nickel cation binding							
PF00375	GO:0015293	symporter activity							
PF00375	GO:0016020	membrane							
PF00376	GO:0003677	DNA binding							
PF00376	GO:0006355	regulation of DNA-templated transcription							
PF00377	GO:0051260	protein homooligomerization							
PF00377	GO:0016020	membrane							
PF00380	GO:0003735	structural constituent of ribosome							
PF00380	GO:0006412	translation							
PF00380	GO:0005840	ribosome							
PF00382	GO:0017025	TBP-class protein binding							
PF00384	GO:0016491	oxidoreductase activity							
PF00387	GO:0004435	phosphatidylinositol-4,5-bisphosphate phospholipase C activity							
PF00387	GO:0006629	lipid metabolic process							
PF00387	GO:0007165	signal transduction							
PF00387	GO:0035556	intracellular signal transduction							
PF00389	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor							
PF00389	GO:0051287	NAD binding							
PF00390	GO:0004470	malic enzyme activity							
PF00390	GO:0016616	oxidoreductase activity, acting on the CH-OH group of donors, NAD or NADP as acceptor							
PF00391	GO:0016772	transferase activity, transferring phosphorus-containing groups							
PF00391	GO:0016310	phosphorylation							
PF00392	GO:0003700	DNA-binding transcription factor activity							
PF00392	GO:0006355	regulation of DNA-templated transcription							
PF00393	GO:0004616	phosphogluconate dehydrogenase (decarboxylating) activity							
PF00393	GO:0006098	pentose-phosphate shunt							
PF00397	GO:0005515	protein binding							
PF00399	GO:0005199	structural constituent of cell wall							
PF00399	GO:0005618	cell wall							
PF00400	GO:0005515	protein binding							
PF00403	GO:0046872	metal ion binding							
PF00404	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds							
PF00404	GO:0000272	polysaccharide catabolic process							
PF00407	GO:0006952	defense response							
PF00408	GO:0016868	intramolecular phosphotransferase activity							
PF00410	GO:0003735	structural constituent of ribosome							
PF00410	GO:0006412	translation							
PF00410	GO:0005840	ribosome							
PF00411	GO:0003735	structural constituent of ribosome							
PF00411	GO:0006412	translation							
PF00411	GO:0005840	ribosome							
PF00413	GO:0004222	metalloendopeptidase activity							
PF00413	GO:0008270	zinc ion binding							
PF00413	GO:0006508	proteolysis							
PF00413	GO:0031012	extracellular matrix							
PF00416	GO:0003723	RNA binding							
PF00416	GO:0003735	structural constituent of ribosome							
PF00416	GO:0006412	translation							
PF00416	GO:0005840	ribosome							
PF00418	GO:0015631	tubulin binding							
PF00419	GO:0007155	cell adhesion							
PF00419	GO:0009289	pilus							
PF00421	GO:0016168	chlorophyll binding							
PF00421	GO:0009767	photosynthetic electron transport chain							
PF00421	GO:0019684	photosynthesis, light reaction							
PF00421	GO:0009521	photosystem							
PF00421	GO:0016020	membrane							
PF00423	GO:0046789	host cell surface receptor binding							
PF00423	GO:0019058	viral life cycle							
PF00423	GO:0019031	viral envelope							
PF00424	GO:0003700	DNA-binding transcription factor activity							
PF00424	GO:0006355	regulation of DNA-templated transcription							
PF00424	GO:0042025	host cell nucleus							
PF00426	GO:0019058	viral life cycle							
PF00426	GO:0019028	viral capsid							
PF00427	GO:0015979	photosynthesis							
PF00427	GO:0030089	phycobilisome							
PF00430	GO:0015078	proton transmembrane transporter activity							
PF00430	GO:0015986	proton motive force-driven ATP synthesis							
PF00430	GO:0045259	proton-transporting ATP synthase complex							
PF00432	GO:0003824	catalytic activity							
PF00433	GO:0004674	protein serine/threonine kinase activity							
PF00433	GO:0005524	ATP binding							
PF00433	GO:0006468	protein phosphorylation							
PF00434	GO:0019028	viral capsid							
PF00435	GO:0005515	protein binding							
PF00436	GO:0003697	single-stranded DNA binding							
PF00438	GO:0004478	methionine adenosyltransferase activity							
PF00438	GO:0006556	S-adenosylmethionine biosynthetic process							
PF00439	GO:0005515	protein binding							
PF00440	GO:0003677	DNA binding							
PF00441	GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors							
PF00443	GO:0004843	cysteine-type deubiquitinase activity							
PF00443	GO:0016579	protein deubiquitination							
PF00444	GO:0003735	structural constituent of ribosome							
PF00444	GO:0006412	translation							
PF00444	GO:0005840	ribosome							
PF00445	GO:0003723	RNA binding							
PF00445	GO:0033897	ribonuclease T2 activity							
PF00446	GO:0005179	hormone activity							
PF00446	GO:0007275	multicellular organism development							
PF00446	GO:0005576	extracellular region							
PF00447	GO:0003700	DNA-binding transcription factor activity							
PF00447	GO:0043565	sequence-specific DNA binding							
PF00447	GO:0006355	regulation of DNA-templated transcription							
PF00448	GO:0005525	GTP binding							
PF00448	GO:0006614	SRP-dependent cotranslational protein targeting to membrane							
PF00450	GO:0004185	serine-type carboxypeptidase activity							
PF00450	GO:0006508	proteolysis							
